@relation all_fv_N20

@attribute percentage-of-(IP)-overall numeric
@attribute percentage-of-(SF)-overall numeric
@attribute percentage-of-(OM)-grocery numeric
@attribute percentage-of-(SF)-grocery numeric
@attribute number-of-(PO)-overall numeric
@attribute number-of-(IR)-overall numeric
@attribute number-of-(IS)-grocery numeric
@attribute percentage-of-(IP-RN)-overall numeric
@attribute percentage-of-(SBR-MINEG)-overall numeric
@attribute percentage-of-(QM-IR)-overall numeric
@attribute percentage-of-(SBR-SF)-overall numeric
@attribute percentage-of-(OM-QM)-wine numeric
@attribute percentage-of-(MIN-IR)-wine numeric
@attribute percentage-of-(IP-SF)-grocery numeric
@attribute percentage-of-(IP-IDN)-turns numeric
@attribute percentage-of-(MIN-QR)-turns numeric
@attribute percentage-of-(IDN-SBR)-turns numeric
@attribute number-of-(IP-RN)-overall numeric
@attribute number-of-(OM-RP)-overall numeric
@attribute number-of-(IP-IDN)-turns numeric
@attribute 1-0020 numeric
@attribute 1-0090 numeric
@attribute 1-0091 numeric
@attribute 1-0177 numeric
@attribute 1-0432 numeric
@attribute 1-0483 numeric
@attribute 1-0605 numeric
@attribute 1-0687 numeric
@attribute 1-0891 numeric
@attribute 1-1062 numeric
@attribute 1-1702 numeric
@attribute 1-1800 numeric
@attribute 1-1886 numeric
@attribute 2-0004 numeric
@attribute 2-0112 numeric
@attribute 2-0250 numeric
@attribute 2-0254 numeric
@attribute 2-0994 numeric
@attribute 3-0030 numeric
@attribute 3-0046 numeric
@attribute ID numeric
@attribute mean_age numeric
@attribute negative_experience {no,yes}
@attribute education {Graduate,Undergraduate}
@attribute east.asian.time.in.us numeric
@attribute cultural_intelligence numeric
@attribute emotional.intelligence numeric
@attribute IQ numeric
@attribute extroversion numeric
@attribute openness numeric
@attribute profit.diff numeric
@attribute profit.joint numeric

@data
0.084746,0.013559,0.006494,0.019481,7,0,0,0.010204,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,1,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,50,23,yes,Graduate,15,5.775,4.242424,1.217993,4.05,4,120,1240
0.121212,0,0.056604,0,2,5,0,0.010204,0,0,0,0,0,0,0,0,0,1,2,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,51,25,yes,Graduate,36,4.725,3.575758,-0.616616,2.9,3.7,140,1400
0.109756,0,0,0,2,1,0,0.020408,0.004082,0,0,0,0,0,0,0,0.007407,5,0,0,3,0,1,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,52,19.5,no,Undergraduate,35,5.45,3.810606,-0.403322,4.1,4.2,0,1160
0.068783,0.005291,0.028846,0.009615,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,53,30,yes,Graduate,48,4.85,3.878788,0.102132,3,3.8,120,1480
0.090909,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,54,27.5,yes,Graduate,14,4.4,3.454545,-0.531577,2.5,3,0,1320
0.108527,0.007752,0.058824,0,1,8,0,0,0,0.007813,0,0,0.012987,0,0,0.014493,0,0,1,0,8,1,4,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,55,20,no,Undergraduate,36,5.1,3.363636,0.017093,2.65,3.7,0,1480
0.076336,0.007634,0,0.016667,2,1,0,0,0.007692,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,25,no,Graduate,2,5.077632,3.818182,-0.921123,3.25,3.45,100,1320
0.158416,0,0.083333,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,57,26.5,yes,Graduate,49,5.638158,3.878788,-0.397148,2.6,3.5,100,1320
0.07619,0,0.027273,0,8,6,0,0,0,0,0,0.010101,0.010101,0,0,0.022388,0,0,2,0,7,4,5,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,58,25.5,no,Graduate,48,4.825,3.181818,0.565763,2.75,3.4,40,1480
0.070423,0.00939,0.056911,0,3,0,0,0,0,0,0,0.011236,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,59,28,yes,Graduate,26,5.514474,4.242424,-0.628964,4,4.15,320,1400
0.102804,0.014019,0.068627,0.009804,2,1,0,0,0,0,0.00939,0,0.009009,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,60,33.5,yes,Graduate,58,4.775,3.19697,1.290684,2.25,3.95,20,1320
0.135714,0.007143,0,0,3,1,0,0,0,0,0.007194,0,0,0,0.014085,0,0.014085,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,62,26.5,yes,Graduate,14,5.525,4.045455,0.315426,3.15,4.4,240,1160
0.056604,0,0.046296,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,63,21,no,Undergraduate,48,5.325,3.642045,0.456029,3.45,3.55,240,1400
0.115044,0,0.037037,0,6,2,0,0.008929,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,64,24,no,Undergraduate,?,5.325,3.893939,-0.550099,2.95,3.5,460,1320
0.094972,0.011173,0,0.010989,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,26,no,Graduate,26,4.55,3.727273,0.358642,3.6,4,240,1320
0.164384,0.020548,0.011765,0.035294,3,0,0,0.027586,0.006897,0,0,0,0,0.011905,0.011494,0,0,4,0,1,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,20.5,no,Undergraduate,3,4.671053,3.730303,-0.305935,2.9,3.55,0,1160
0.106195,0.00885,0.060606,0.015152,2,2,1,0,0,0,0.008929,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,26,yes,Graduate,53,5.175,4.015152,-0.72635,3.3,4.15,40,1240
0.161765,0,0,0,1,2,0,0.014925,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,69,26,no,Graduate,31,4.5,3.772727,-0.738698,2.7,3.65,120,1240
0.197368,0.013158,0.027027,0.027027,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,70,18.5,no,Undergraduate,48,4.75,3.818182,-0.945818,3.05,3.7,20,1240
0.136842,0,0.125,0,3,5,0,0,0,0.021277,0,0.021739,0.021739,0,0,0.021277,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,71,33.5,no,Graduate,17,4.775,3.772727,0.638454,3,3.9,0,1480
0.097902,0,0.033708,0,7,4,0,0,0,0,0,0,0.037736,0,0,0.013333,0,0,0,0,14,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,72,20.5,no,Undergraduate,3,5.4,3.812973,0.18717,3.1,3.3,100,1480
0.105263,0.006579,0.025,0.0125,4,0,1,0.006623,0,0,0,0.014085,0,0,0,0,0,1,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,73,19.5,no,Undergraduate,48,4.425,3.69697,-0.428017,2.95,3.25,0,1320
0.235294,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,74,18,no,Undergraduate,60,5.525,4.212121,-0.836084,4.05,4.15,0,1160
0.096774,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75,21.5,no,Undergraduate,60,4.225,3.166667,0.248908,3.15,3.35,0,1320
